,data,icms,ipva,fundeb,comp,total,participacao
253,2016-02,1855296.89,1269932.11,17347.09,7852.44,3150428.53,0.14073292
254,2016-03,3124963.77,1038084.31,16595.98,7642.38,4187286.44,0.14073292
255,2016-04,2294926.11,248992.95,15739.05,6659.79,2566317.9,0.14073292
256,2016-05,2832721.22,186660.3,19595.48,8578.53,3047555.52,0.14073292
257,2016-06,2144352.59,331259.67,11760.9,9225.85,2496599.0,0.14073292
258,2016-07,2448836.81,219462.12,14695.55,10436.5,2693430.98,0.14073292
259,2016-08,2788085.58,251354.97,16271.27,10280.64,3065992.47,0.14073292
260,2016-09,2171809.57,294188.38,16293.69,9984.5,2492276.14,0.14073292
261,2016-10,2407434.09,149093.6,17677.69,9729.95,2583935.33,0.14073292
262,2016-11,2660396.68,222225.87,19696.93,11421.69,2913741.17,0.14073292
263,2016-12,2765110.44,284484.21,18736.43,11884.43,3080215.51,0.14073292
264,2017-01,3137145.35,3121680.2,18467.52,10051.49,6287344.56,0.15017372
265,2017-02,1365763.49,1290977.84,16068.42,14589.98,2687399.73,0.15017372
266,2017-03,3463210.47,1139482.19,20293.9,14553.76,4637540.31,0.15017372
267,2017-04,1872314.86,239956.43,17446.56,12923.08,2142640.94,0.15017372
268,2017-05,3812760.33,240656.06,18844.51,13771.16,4086032.06,0.15017372
269,2017-06,2423823.8,364624.23,18117.3,13400.68,2819966.02,0.15017372
270,2017-07,2636061.62,234741.93,17786.45,14040.79,2902630.79,0.15017372
271,2017-08,3065420.96,309511.14,21569.78,13258.62,3409760.5,0.15017372
272,2017-09,2859908.69,341480.11,18438.33,13865.98,3233693.11,0.15017372
273,2017-10,3282284.68,190452.64,22971.81,14964.94,3510674.07,0.15017372
274,2017-11,2523013.5,194280.82,25356.54,14488.6,2757139.46,0.15017372
275,2017-12,2942041.18,283007.41,25053.74,14254.89,3264357.23,0.15017372
276,2018-01,3750656.16,3365204.84,29107.57,16140.84,7161109.41,0.14841714
277,2018-02,2756277.74,1321091.89,28494.61,20718.76,4126583.0,0.14841714
278,2018-03,2967422.09,1092947.05,22912.82,21536.25,4104818.21,0.14841714
279,2018-04,2184092.37,309614.13,24655.35,18405.41,2536767.26,0.14841714
280,2018-05,4358745.66,242423.13,26575.5,19680.37,4647424.66,0.14841714
281,2018-06,2885038.55,361133.07,26152.74,18317.95,3290642.31,0.14841714
282,2018-07,3783136.36,231410.45,23687.44,25094.48,4063328.73,0.14841714
283,2018-08,2862844.32,276951.77,26424.18,24642.83,3190863.09,0.14841714
284,2018-09,3179600.26,341196.87,23802.15,25536.45,3570135.73,0.14841714
285,2018-10,3888242.41,235960.19,28248.0,24831.07,4177281.67,0.14841714
286,2018-11,2862530.97,190680.8,25294.8,27940.17,3106446.74,0.14841714
287,2018-12,3408069.1,302573.62,26845.61,28678.3,3766166.63,0.14841714
288,2019-01,3869022.28,3631335.86,30845.81,20539.28,7551743.24,0.14416587
289,2019-02,3314880.39,1525546.18,22788.54,21225.89,4884441.0,0.14416587
290,2019-03,3424524.46,1122218.17,25064.29,19624.76,4591431.67,0.14416587
291,2019-04,4139360.85,293121.72,28459.8,20016.51,4480958.88,0.14416587
292,2019-05,3101444.96,261656.83,23945.12,23820.2,3410867.11,0.14416587
293,2019-06,3010756.42,349201.57,26124.57,23353.63,3409436.19,0.14416587
294,2019-07,4448741.63,249381.71,27873.31,25557.72,4751554.37,0.14416587
295,2019-08,3185911.19,293118.68,22895.32,21162.69,3523087.88,0.14416587
296,2019-09,2583034.48,330918.81,28589.64,20121.01,2962663.94,0.14416587
297,2019-10,4923538.87,268180.69,29141.67,20012.32,5240873.55,0.14416587
298,2019-11,3697042.68,227957.73,25231.36,21501.29,3971733.06,0.14416587
299,2019-12,5330104.24,339983.15,28094.67,19778.67,5717960.74,0.14416587
300,2020-01,3487929.16,3863921.79,27615.56,9509.46,7388975.97,
301,2020-02,3567964.42,1466627.8,22817.47,11541.89,5068951.58,
302,2020-03,4112610.36,1106307.88,24745.43,12435.89,5256099.55,
303,2020-04,2778110.13,205647.29,22569.49,10796.56,3017123.47,
304,2020-05,2730804.28,206780.83,18922.07,7217.71,2963724.89,
305,2020-06,3331619.96,500085.56,19758.89,4221.86,3855686.27,
306,2020-07,2953350.1,292673.3,21684.82,7627.13,3275335.35,
307,2020-08,3541413.34,350475.39,23526.32,15704.22,3931119.28,
308,2020-09,4138390.8,440266.07,31713.92,10854.38,4621225.17,
309,2020-10,4005810.21,342980.13,34913.53,12477.4,4396181.27,
310,2020-11,3699598.73,292107.55,33803.56,7419.38,4032929.22,
311,2020-12,5309113.38,402948.98,42596.38,9048.29,5763707.03,
312,2021-01,4070096.11,4231629.07,36488.03,9873.7,8348086.91,
313,2021-02,2658388.04,1510299.7,30160.08,11508.65,4210356.47,
314,2021-03,6144993.56,1230184.41,31877.29,15108.71,7422163.96,
315,2021-04,3487904.35,397698.28,36123.35,13411.76,3935137.75,
316,2021-05,3982319.58,379847.83,31347.38,16945.69,4410460.48,
317,2021-06,4543918.02,418342.43,32701.38,16709.18,5011671.01,
318,2021-07,4380559.79,297473.26,35414.09,17875.29,4731322.43,
319,2021-08,5313422.13,294057.93,28259.06,17335.55,5653074.66,
